2025-05-28 00:18:16.071066655+01:00;START ITERATION 8 WITH TEST CASE ORDER: 2 36 8 34 4 5 44 1 35 11 6
2025-05-28 00:18:16.071787038+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-28 00:18:16.147009334+01:00;ENABLE TEST CASE 2
2025-05-28 00:18:16.148315150+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-28 00:18:16.166331302+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.174844345+01:00;GENERATING SSDL REPORT
2025-05-28 00:18:16.181417080+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-28 00:18:16.190956307+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-28 00:18:16.202742809+01:00;ENABLE ALL MUTANTS
2025-05-28 00:18:16.223163043+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.241134882+01:00;GENERATING ALL MUTANTS REPORT
2025-05-28 00:18:16.247515964+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-28 00:18:16.259839704+01:00;ENABLE TEST CASE 36
2025-05-28 00:18:16.261015870+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-28 00:18:16.278783437+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.286903287+01:00;GENERATING SSDL REPORT
2025-05-28 00:18:16.293442208+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-28 00:18:16.302663538+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-28 00:18:16.314438002+01:00;ENABLE ALL MUTANTS
2025-05-28 00:18:16.332091496+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.349726657+01:00;GENERATING ALL MUTANTS REPORT
2025-05-28 00:18:16.355925714+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-28 00:18:16.367700773+01:00;ENABLE TEST CASE 8
2025-05-28 00:18:16.368989235+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-28 00:18:16.387139145+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.394901589+01:00;GENERATING SSDL REPORT
2025-05-28 00:18:16.401218839+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-28 00:18:16.410280539+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-28 00:18:16.421901589+01:00;ENABLE ALL MUTANTS
2025-05-28 00:18:16.439895991+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.457640544+01:00;GENERATING ALL MUTANTS REPORT
2025-05-28 00:18:16.464026160+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-28 00:18:16.476404361+01:00;ENABLE TEST CASE 34
2025-05-28 00:18:16.477662532+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-28 00:18:16.495649741+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-28 00:18:16.503529115+01:00;GENERATING SSDL REPORT
2025-05-28 00:18:16.509902822+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-28 00:18:16.519181487+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-28 00:18:16.530887942+01:00;ENABLE ALL MUTANTS
2025-05-28 00:18:16.548625631+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
