2025-05-27 21:15:18.929950874+01:00;START ITERATION 5 WITH TEST CASE ORDER: 3 6 1
2025-05-27 21:15:18.930687279+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:18.943567947+01:00;ENABLE TEST CASE 3
2025-05-27 21:15:18.944728718+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:18.947152093+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:18.948908534+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:18.950465039+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:18.952489049+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:18.956103144+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:18.958472081+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:18.961059833+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:18.962622434+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:18.967283854+01:00;ENABLE TEST CASE 6
2025-05-27 21:15:18.968471077+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:18.970823301+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:18.972707424+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:18.974194252+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:18.976157950+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:18.979793359+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:18.982274545+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:18.984764383+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:18.986298052+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:18.990960617+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:18.992120557+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:18.994571920+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:18.996447624+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:18.998067691+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:19.000070569+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:19.003756808+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:19.006223745+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:19.008784653+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:19.010327598+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:19.012971785+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:15:19.017738871+01:00;END ITERATION 5 WITH TEST CASE ORDER: 3 6 1
