2025-05-27 21:15:20.777325820+01:00;START ITERATION 10 WITH TEST CASE ORDER: 1 3
2025-05-27 21:15:20.778034824+01:00;DISABLING ALL TEST CASES tcase -i
2025-05-27 21:15:20.787620233+01:00;ENABLE TEST CASE 1
2025-05-27 21:15:20.788687581+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:20.790394548+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:20.791796321+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:20.793176391+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:20.794702593+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:20.797812175+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:20.799484757+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:20.801149679+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:20.802488513+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:20.806692352+01:00;ENABLE TEST CASE 3
2025-05-27 21:15:20.807817288+01:00;ENABLE ONLY SSDL MUTANTS
2025-05-27 21:15:20.809581299+01:00;EXECUTING SSDL MUTANTS WITH TEST CASES
2025-05-27 21:15:20.810911228+01:00;GENERATING SSDL REPORT
2025-05-27 21:15:20.812272927+01:00;RESGISTERING ALL LIVE MUTANTS OF SSDL muta -l
2025-05-27 21:15:20.813780932+01:00;ENABLING SSDL GOOD TEST CASES
2025-05-27 21:15:20.816882518+01:00;ENABLE ALL MUTANTS
2025-05-27 21:15:20.818542854+01:00;EXECUTING ALL MUTANTS WITH TEST CASES
2025-05-27 21:15:20.820393628+01:00;GENERATING ALL MUTANTS REPORT
2025-05-27 21:15:20.821719210+01:00;RESGISTERING ALL LIVE MUTANTS muta -l
2025-05-27 21:15:20.823882677+01:00;ENABLING ALL TEST CASES tcase -e
2025-05-27 21:15:20.826994868+01:00;END ITERATION 10 WITH TEST CASE ORDER: 1 3
