PROG;SEQ;CTC;TC;ACTIVE-OP;ALIVE-OP;EQUIVALENT-OP;SCORE-OP;ACTIVE-ALL;ALIVE-ALL;EQUIVALENT-ALL;SCORE-ALL;START-EXEC;END-EXEC;TIME-DIFF
twoPred;1;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;1;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:19.826706430+01:00;2025-05-27 21:15:19.843791973+01:00;0.017085
twoPred;1;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:19.845719283+01:00;2025-05-27 21:15:19.863155994+01:00;0.017436
twoPred;2;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;2;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:19.932627457+01:00;2025-05-27 21:15:19.949851466+01:00;0.017224
twoPred;2;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:19.951829878+01:00;2025-05-27 21:15:19.969279108+01:00;0.017449
twoPred;3;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;3;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:20.039158918+01:00;2025-05-27 21:15:20.056225347+01:00;0.017066
twoPred;3;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.058180421+01:00;2025-05-27 21:15:20.075238977+01:00;0.017058
twoPred;4;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;4;1;1;7;3;1;0.500000;246;189;26;0.140909;2025-05-27 21:15:20.145195464+01:00;2025-05-27 21:15:20.162954687+01:00;0.017759
twoPred;4;2;3;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.164962845+01:00;2025-05-27 21:15:20.182136370+01:00;0.017173
twoPred;5;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;5;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:20.252456101+01:00;2025-05-27 21:15:20.270351020+01:00;0.017894
twoPred;5;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.272285737+01:00;2025-05-27 21:15:20.289572571+01:00;0.017286
twoPred;6;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;6;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:20.360572699+01:00;2025-05-27 21:15:20.378667722+01:00;0.018095
twoPred;6;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.380609345+01:00;2025-05-27 21:15:20.397704419+01:00;0.017095
twoPred;7;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;7;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:20.468359752+01:00;2025-05-27 21:15:20.485538925+01:00;0.017179
twoPred;7;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.487505220+01:00;2025-05-27 21:15:20.504542569+01:00;0.017037
twoPred;8;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;8;1;1;7;3;1;0.500000;246;189;26;0.140909;2025-05-27 21:15:20.574240659+01:00;2025-05-27 21:15:20.591692430+01:00;0.017451
twoPred;8;2;3;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.593622200+01:00;2025-05-27 21:15:20.610843630+01:00;0.017221
twoPred;9;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;9;1;3;7;1;1;0.833333;246;92;26;0.581818;2025-05-27 21:15:20.680289725+01:00;2025-05-27 21:15:20.697723657+01:00;0.017433
twoPred;9;2;1;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.699627073+01:00;2025-05-27 21:15:20.716640456+01:00;0.017013
twoPred;10;0;0;7;6;1;0.000000;246;220;26;0.000000;-;-;-
twoPred;10;1;1;7;3;1;0.500000;246;189;26;0.140909;2025-05-27 21:15:20.786910664+01:00;2025-05-27 21:15:20.804105791+01:00;0.017195
twoPred;10;2;3;7;0;1;1.000000;246;71;26;0.677273;2025-05-27 21:15:20.805984123+01:00;2025-05-27 21:15:20.823212434+01:00;0.017228
