Operador,Total,Non-Eq,Eq,%Non-Eq,%Eq
AddNot,243,243,0,100.0,0.0
ExceptionReplacer,11,11,0,100.0,0.0
NumberReplacer,298,288,10,96.6,3.4
RemoveDecorator,6,6,0,100.0,0.0
ReplaceAndWithOr,22,20,2,90.9,9.1
ReplaceBinaryOperator_Add_BitAnd,17,17,0,100.0,0.0
ReplaceBinaryOperator_Add_BitOr,17,16,1,94.1,5.9
ReplaceBinaryOperator_Add_BitXor,17,17,0,100.0,0.0
ReplaceBinaryOperator_Add_Div,17,17,0,100.0,0.0
ReplaceBinaryOperator_Add_FloorDiv,17,16,1,94.1,5.9
ReplaceBinaryOperator_Add_LShift,17,17,0,100.0,0.0
ReplaceBinaryOperator_Add_Mod,17,17,0,100.0,0.0
ReplaceBinaryOperator_Add_Mul,17,16,1,94.1,5.9
ReplaceBinaryOperator_Add_Pow,17,16,1,94.1,5.9
ReplaceBinaryOperator_Add_RShift,17,17,0,100.0,0.0
ReplaceBinaryOperator_Add_Sub,17,17,0,100.0,0.0
ReplaceBinaryOperator_Div_Add,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_BitAnd,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_BitOr,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_BitXor,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_FloorDiv,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_LShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_Mod,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_Mul,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_Pow,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_RShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Div_Sub,1,1,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_Add,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_BitAnd,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_BitOr,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_BitXor,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_Div,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_LShift,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_Mod,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_Mul,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_Pow,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_RShift,2,2,0,100.0,0.0
ReplaceBinaryOperator_FloorDiv_Sub,2,2,0,100.0,0.0
ReplaceBinaryOperator_Mod_Add,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_BitAnd,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_BitOr,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_BitXor,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_Div,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_FloorDiv,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_LShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_Mul,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_Pow,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_RShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mod_Sub,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_Add,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_BitAnd,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_BitOr,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_BitXor,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_Div,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_FloorDiv,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_LShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_Mod,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_Pow,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_RShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Mul_Sub,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_Add,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_BitAnd,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_BitOr,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_BitXor,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_Div,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_FloorDiv,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_LShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_Mod,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_Mul,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_RShift,1,1,0,100.0,0.0
ReplaceBinaryOperator_Pow_Sub,1,1,0,100.0,0.0
ReplaceBinaryOperator_Sub_Add,13,12,1,92.3,7.7
ReplaceBinaryOperator_Sub_BitAnd,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_BitOr,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_BitXor,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_Div,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_FloorDiv,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_LShift,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_Mod,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_Mul,13,12,1,92.3,7.7
ReplaceBinaryOperator_Sub_Pow,13,13,0,100.0,0.0
ReplaceBinaryOperator_Sub_RShift,13,13,0,100.0,0.0
ReplaceBreakWithContinue,2,2,0,100.0,0.0
ReplaceComparisonOperator_Eq_Gt,49,49,0,100.0,0.0
ReplaceComparisonOperator_Eq_GtE,49,48,1,98.0,2.0
ReplaceComparisonOperator_Eq_Is,26,8,18,30.8,69.2
ReplaceComparisonOperator_Eq_IsNot,35,35,0,100.0,0.0
ReplaceComparisonOperator_Eq_Lt,49,48,1,98.0,2.0
ReplaceComparisonOperator_Eq_LtE,49,25,24,51.0,49.0
ReplaceComparisonOperator_Eq_NotEq,49,49,0,100.0,0.0
ReplaceComparisonOperator_GtE_Eq,10,10,0,100.0,0.0
ReplaceComparisonOperator_GtE_Gt,10,10,0,100.0,0.0
ReplaceComparisonOperator_GtE_Is,9,9,0,100.0,0.0
ReplaceComparisonOperator_GtE_IsNot,9,9,0,100.0,0.0
ReplaceComparisonOperator_GtE_Lt,10,10,0,100.0,0.0
ReplaceComparisonOperator_GtE_LtE,10,10,0,100.0,0.0
ReplaceComparisonOperator_GtE_NotEq,10,10,0,100.0,0.0
ReplaceComparisonOperator_Gt_Eq,12,12,0,100.0,0.0
ReplaceComparisonOperator_Gt_GtE,12,9,3,75.0,25.0
ReplaceComparisonOperator_Gt_Is,8,8,0,100.0,0.0
ReplaceComparisonOperator_Gt_IsNot,8,2,6,25.0,75.0
ReplaceComparisonOperator_Gt_Lt,12,12,0,100.0,0.0
ReplaceComparisonOperator_Gt_LtE,12,12,0,100.0,0.0
ReplaceComparisonOperator_Gt_NotEq,12,2,10,16.7,83.3
ReplaceComparisonOperator_IsNot_Eq,4,4,0,100.0,0.0
ReplaceComparisonOperator_IsNot_Gt,4,4,0,100.0,0.0
ReplaceComparisonOperator_IsNot_GtE,4,4,0,100.0,0.0
ReplaceComparisonOperator_IsNot_Is,19,19,0,100.0,0.0
ReplaceComparisonOperator_IsNot_Lt,4,4,0,100.0,0.0
ReplaceComparisonOperator_IsNot_LtE,4,4,0,100.0,0.0
ReplaceComparisonOperator_IsNot_NotEq,4,0,4,0.0,100.0
ReplaceComparisonOperator_Is_Eq,8,0,8,0.0,100.0
ReplaceComparisonOperator_Is_Gt,8,8,0,100.0,0.0
ReplaceComparisonOperator_Is_GtE,8,8,0,100.0,0.0
ReplaceComparisonOperator_Is_IsNot,56,56,0,100.0,0.0
ReplaceComparisonOperator_Is_Lt,8,8,0,100.0,0.0
ReplaceComparisonOperator_Is_LtE,8,8,0,100.0,0.0
ReplaceComparisonOperator_Is_NotEq,8,8,0,100.0,0.0
ReplaceComparisonOperator_LtE_Eq,11,10,1,90.9,9.1
ReplaceComparisonOperator_LtE_Gt,11,11,0,100.0,0.0
ReplaceComparisonOperator_LtE_GtE,11,11,0,100.0,0.0
ReplaceComparisonOperator_LtE_Is,9,8,1,88.9,11.1
ReplaceComparisonOperator_LtE_IsNot,9,9,0,100.0,0.0
ReplaceComparisonOperator_LtE_Lt,11,10,1,90.9,9.1
ReplaceComparisonOperator_LtE_NotEq,11,11,0,100.0,0.0
ReplaceComparisonOperator_Lt_Eq,28,28,0,100.0,0.0
ReplaceComparisonOperator_Lt_Gt,28,28,0,100.0,0.0
ReplaceComparisonOperator_Lt_GtE,28,28,0,100.0,0.0
ReplaceComparisonOperator_Lt_Is,15,15,0,100.0,0.0
ReplaceComparisonOperator_Lt_IsNot,15,12,3,80.0,20.0
ReplaceComparisonOperator_Lt_LtE,28,23,5,82.1,17.9
ReplaceComparisonOperator_Lt_NotEq,28,25,3,89.3,10.7
ReplaceComparisonOperator_NotEq_Eq,2,2,0,100.0,0.0
ReplaceComparisonOperator_NotEq_Gt,2,1,1,50.0,50.0
ReplaceComparisonOperator_NotEq_GtE,2,2,0,100.0,0.0
ReplaceComparisonOperator_NotEq_Is,15,15,0,100.0,0.0
ReplaceComparisonOperator_NotEq_IsNot,1,0,1,0.0,100.0
ReplaceComparisonOperator_NotEq_Lt,2,2,0,100.0,0.0
ReplaceComparisonOperator_NotEq_LtE,2,2,0,100.0,0.0
ReplaceFalseWithTrue,23,22,1,95.7,4.3
ReplaceOrWithAnd,7,7,0,100.0,0.0
ReplaceTrueWithFalse,17,17,0,100.0,0.0
ReplaceUnaryOperator_Delete_Not,19,19,0,100.0,0.0
ReplaceUnaryOperator_Delete_USub,3,3,0,100.0,0.0
ReplaceUnaryOperator_USub_Invert,3,3,0,100.0,0.0
ReplaceUnaryOperator_USub_Not,3,3,0,100.0,0.0
ReplaceUnaryOperator_USub_UAdd,3,3,0,100.0,0.0
ZeroIterationForLoop,26,26,0,100.0,0.0
Total,1948,1838,110,94.4,5.6
